nome,categoria,repositorio,url,src,checa
cassandra,Data storage and management,repositorio1,https://github.com/apache/cassandra.git,src/java,True
kafka,Message broker,repositorio2,https://github.com/apache/kafka.git,core/src/main/java/kafka,True
activemq,Message broker,repositorio3,https://github.com/apache/activemq.git,TBD,TBD
guava,Common libraries for Java,repositorio4,https://github.com/google/guava,TBD,TBD
